dH sigma,dS sigma,effective barrier,permeability,max barrier,max enthalpic barrier,max entropic barrier
0.0001,3.3333333333333335e-07,15.800456876210433,0.00034130047802301326,12.50065605130667,3.500464843276301,-0.02999841634006813
0.0001,3.3333333333333333e-06,15.800458551963938,0.0003412995180197427,12.504443190130008,3.5004647751005837,-0.029983956776843488
0.0001,3.3333333333333335e-05,15.800549408127175,0.00034124747251285125,12.549110064821559,3.5004464604778165,-0.02983950193075652
0.0001,0.0001666666666666667,15.802482522641647,0.00034014199754532626,12.727892018725887,3.5005136884931174,-0.029203215202601152
0.0001,0.0003333333333333334,15.808853935516229,0.0003365237183355465,12.950397221997996,3.500476911180262,-0.02856803256562365
0.0001,0.0016666666666666668,16.005966596366992,0.0002417275496365994,14.982274751574483,3.5004422886630997,-0.022727499396139154
0.0001,0.0033333333333333335,16.6071902041044,8.811527929537489e-05,17.376781612684596,3.5004634316684493,-0.015829781416176573
0.0001,0.005,17.488525959789197,2.0071623294458965e-05,19.526071924223867,3.500469044500065,-0.005351160450579574
0.0001,0.006666666666666667,18.4768335308334,3.820624522747007e-06,21.19834612085313,3.5004519133521286,0.002707855947013893
0.0001,0.008333333333333333,19.562334929328394,6.177811909766305e-07,24.15578883276249,3.5004657017351883,0.006519323912970068
0.0001,0.01,20.622673918715176,1.0420239131931163e-07,25.526787160017758,3.500435782279919,0.0159123479859843
0.0001,0.013333333333333334,22.733913453561396,3.011924291266843e-09,31.220654370354662,3.5004577825651833,0.03455838891821317
0.0001,0.016666666666666666,24.798830474575805,9.409752769904734e-11,35.52032963284663,3.5004415693022795,0.044950719652762997
0.0001,0.02,26.80095101690032,3.2665493491799507e-12,39.142031221863775,3.500532260350575,0.06620555784081565
0.0001,0.023333333333333334,28.827483735709357,1.0884398937471291e-13,43.90478409852028,3.5004511792479627,0.08339872787717856
0.0001,0.02666666666666667,30.731019458427724,4.458420164963385e-15,50.80628888793103,3.5004484134043916,0.09952344762269996
0.0001,0.03,31.496419197614244,1.2337476307150626e-15,53.76300454407693,3.5004842339943205,0.10455402565812025
0.0001,0.03333333333333333,34.91882872538068,3.948089838167698e-18,56.02865478311684,3.500479978760429,0.13095012796369815
0.001,3.3333333333333335e-07,15.800455843725015,0.0003413010695131271,12.505437507625583,3.5053949249613754,-0.029998438396583196
0.001,3.3333333333333333e-06,15.800457778919625,0.0003412999608799274,12.506329709866067,3.504440589794145,-0.02998478685608326
0.001,3.3333333333333335e-05,15.800540072898595,0.0003412528196840917,12.54972270839653,3.5047320168195264,-0.029835667085721482
0.001,0.0001666666666666667,15.802608284093772,0.0003400702035282858,12.761683078942003,3.504662944998313,-0.029167449301321553
0.001,0.0003333333333333334,15.80887961603609,0.0003365092127114167,13.000565736686498,3.504751542040122,-0.028435543736287695
0.001,0.0016666666666666668,16.00674201017896,0.00024141313455077796,14.755438000959856,3.5044653885714063,-0.02250119126574491
0.001,0.0033333333333333335,16.598005294967393,8.948428244220854e-05,17.326337079294074,3.5042838484826606,-0.013168878592967052
0.001,0.005,17.473524547055924,2.0583446794752904e-05,19.46194818169684,3.5045055910955476,-0.006488384160535883
0.001,0.006666666666666667,18.488830946634195,3.7444547236131926e-06,21.579909930017156,3.504887976664813,0.0010521163038428143
0.001,0.008333333333333333,19.544818643241612,6.362144905542417e-07,23.895496255163227,3.505435950512322,0.010893181558463104
0.001,0.01,20.614100724526153,1.0571273294270895e-07,26.428912266609508,3.5045644658792465,0.01707117250973919
0.001,0.013333333333333334,22.716535119388727,3.1010756647213653e-09,30.747849073155212,3.5047855170126034,0.03068974479341348
0.001,0.016666666666666666,24.950874182974303,7.290254163330344e-11,35.169334087729325,3.5045034779822766,0.05050117012905288
0.001,0.02,26.644935321543404,4.244438377632134e-12,38.24978851325509,3.5050217355944366,0.06086806145209668
0.001,0.023333333333333334,28.895926337288607,9.703127528406352e-14,44.28194167740595,3.5044986778993055,0.08140079574173614
0.001,0.02666666666666667,30.318027031536197,8.917451155759645e-15,47.96473672883307,3.5047566617180106,0.08585993496508693
0.001,0.03,32.43304897261395,2.5612374184393616e-16,51.877566811717,3.5046131423257436,0.11486189438495617
0.001,0.03333333333333333,34.58102315283725,6.960455972992925e-18,57.83467850216884,3.504563321569,0.1293578177599791
0.01,3.3333333333333335e-07,15.800555264470205,0.00034124411807224923,12.547016117947171,3.5470861290313027,-0.02999841589318738
0.01,3.3333333333333333e-06,15.80056638245323,0.0003412377499202841,12.544838651140699,3.545174324045456,-0.029984299151346552
0.01,3.3333333333333335e-05,15.800627895023084,0.000341202518933249,12.561109002911172,3.5504955536111944,-0.02982588466728595
0.01,0.0001666666666666667,15.80243269870327,0.00034017044495727257,12.74661003899186,3.5469905656421807,-0.029168614828497422
0.01,0.0003333333333333334,15.808898393888711,0.0003364986064499187,12.97958488228371,3.5469036077639,-0.028494405987100575
0.01,0.0016666666666666668,16.008123043297253,0.00024085416518286357,15.05061576090876,3.546005808608791,-0.022024440339621802
0.01,0.0033333333333333335,16.606184583314313,8.826413940740537e-05,17.094671262110413,3.545764467693476,-0.015441197003593941
0.01,0.005,17.483890425841626,2.022840639009993e-05,19.727213474749867,3.546649581683263,-0.00969167774440077
0.01,0.006666666666666667,18.50449665245044,3.647276842571584e-06,21.4496796008064,3.546166627243482,0.004532785815818591
0.01,0.008333333333333333,19.551503367329836,6.291157856269199e-07,23.56759859952845,3.5466826698511826,0.008117824482263884
0.01,0.01,20.612454608439855,1.0600522506496735e-07,27.36134877276797,3.548586939598366,0.016186389645655865
0.01,0.013333333333333334,22.676963489603548,3.3140492388415407e-09,31.48139621877877,3.5453182364046683,0.034884005452186825
0.01,0.016666666666666666,24.73800207172208,1.0421263818482166e-10,34.057490784275544,3.545034782826892,0.041949749733443564
0.01,0.02,26.708762868700585,3.813219140991839e-12,40.6938812957821,3.5449099893928318,0.06321434648742258
0.01,0.023333333333333334,28.799523859699153,1.1407393068764594e-13,44.90189638287184,3.54421934485469,0.08078716032256121
0.01,0.02666666666666667,30.756822322768265,4.2694451583295934e-15,47.896227255686846,3.5440539549914045,0.08838167810021155
0.01,0.03,32.21613941966128,3.686130776999101e-16,61.459358845425996,3.549180194585404,0.11501163101191728
0.01,0.03333333333333333,33.94261716142124,2.03243899844753e-17,57.37078470459678,3.5467970437151832,0.13206145734540398
0.05,3.3333333333333335e-07,15.802468030239353,0.0003401502718633915,12.744654416090262,3.7447790682521114,-0.02999847095513829
0.05,3.3333333333333333e-06,15.802723439577665,0.0003400044774796171,12.733663482482013,3.7328923485018226,-0.02998438544559858
0.05,3.3333333333333335e-05,15.80272390200377,0.0003400042135712837,12.752497839626752,3.7315337618078233,-0.02984758628606957
0.05,0.0001666666666666667,15.804782297043111,0.00033883150722342884,12.851629617770435,3.737185053589341,-0.029229298333979414
0.05,0.0003333333333333334,15.810899001841658,0.00033537051953479315,13.025345482397222,3.721750846742021,-0.0284828047851045
0.05,0.0016666666666666668,16.00915658772001,0.00024043668781070465,14.861717191438723,3.728371718570256,-0.022129746619754656
0.05,0.0033333333333333335,16.602926541416238,8.874815048029463e-05,16.911538255938787,3.7372686157588846,-0.01492510906454883
0.05,0.005,17.482370777450875,2.0280070039747157e-05,19.67920066177543,3.777832464988737,-0.007321517342507258
0.05,0.006666666666666667,18.507744038350562,3.6274503527449654e-06,21.91524714858675,3.7445083205610143,0.0010578997424114354
0.05,0.008333333333333333,19.569007241824984,6.109008865191608e-07,23.77659962400329,3.7296448778225466,0.0066316889932231254
0.05,0.01,20.615804909432764,1.0541077302241955e-07,25.68550334537421,3.7568329789739354,0.01617524990857043
0.05,0.013333333333333334,22.744125563634963,2.9607361952141955e-09,33.24483781861702,3.734714359313705,0.030420573241680682
0.05,0.016666666666666666,24.76310359170042,9.991302212487008e-11,36.1250561330019,3.714137338769397,0.048294719583238346
0.05,0.02,26.876672447086943,2.8766727043233815e-12,39.15394888244474,3.72421930837068,0.06885156773549404
0.05,0.023333333333333334,28.763813317482526,1.2112070138903852e-13,48.0269483531469,3.72347292975222,0.07440542236876188
0.05,0.02666666666666667,30.793419720947483,4.015068655832104e-15,48.93761950903736,3.73616239606015,0.09880153457379476
0.05,0.03,32.61986403834904,1.8718324118499365e-16,51.72870124687056,3.723694011768321,0.1084683467177606
0.05,0.03333333333333333,33.43628793874469,4.7546344924701355e-17,63.99540410646804,3.7368918183558306,0.12800893066049385
0.1,3.3333333333333335e-07,15.80897855760762,0.00033645333147709177,12.950885647439033,3.950873191295215,-0.02999829857537458
0.1,3.3333333333333333e-06,15.808717158867744,0.00033660098706671986,12.93805711440243,3.9388930189469766,-0.029981635933143284
0.1,3.3333333333333335e-05,15.80895329594781,0.00033646759813385653,12.97732505514864,3.9674599230411793,-0.029839017452355652
0.1,0.0001666666666666667,15.810967112871758,0.00033533218026854703,13.058980127098048,3.9555417484960933,-0.029270794236384692
0.1,0.0003333333333333334,15.817471431104916,0.00033169106247039713,13.21965493865694,3.9344748146572637,-0.02846972681425061
0.1,0.0016666666666666668,16.015381922974054,0.0002379373629983348,14.828134616758582,3.9656912339320876,-0.022024349551714593
0.1,0.0033333333333333335,16.616502721656012,8.674863731421662e-05,17.22759523873971,3.949712661610351,-0.014121014132083266
0.1,0.005,17.500133773556218,1.9684334255677732e-05,19.08032727403378,3.9425692932446874,-0.007959668880183943
0.1,0.006666666666666667,18.50295073793148,3.6567532577779587e-06,21.565819287871218,3.9946134733217953,0.0015742716982800956
0.1,0.008333333333333333,19.56717117825853,6.127865064030477e-07,24.47815738152088,3.97327178938234,0.004829402843396245
0.1,0.01,20.616740044576044,1.0524544561027403e-07,27.313421496963322,3.986978075806148,0.01730504403997299
0.1,0.013333333333333334,22.7868668790103,2.7557670843725083e-09,30.554907822755116,4.011477799303198,0.03547758722515222
0.1,0.016666666666666666,24.69248255593342,1.1248712682148925e-10,34.76447644003421,3.969751309844527,0.04258405558553564
0.1,0.02,26.817497755562478,3.177072469822014e-12,40.30965295018303,3.9496038642861135,0.07223376365573966
0.1,0.023333333333333334,28.956050449463497,8.771683839602605e-14,44.92944000406112,3.933915981524498,0.07774924592629609
0.1,0.02666666666666667,30.96482044873573,3.011249322845192e-15,51.099863531779924,4.010137624824353,0.09965000430029095
0.1,0.03,32.75412010827781,1.4941634297997412e-16,52.321177884630224,3.9573930913100503,0.10067062361984533
0.1,0.03333333333333333,34.20611623153815,1.3059729575699037e-17,57.791161713602996,3.9796926040199754,0.12459104684311584
0.5,3.3333333333333335e-07,16.008415971965842,0.00024073576958229956,14.801153939047555,5.801209171900618,-0.029998554239831953
0.5,3.3333333333333333e-06,16.007164325261815,0.00024124206612508205,14.933793959347836,5.934040880907711,-0.02998396392189918
0.5,3.3333333333333335e-05,16.006916809975014,0.0002413423131689621,14.671678833005814,5.667740308272823,-0.029845579327124186
0.5,0.0001666666666666667,16.010049303708815,0.0002400766774511022,14.855037931041739,5.872735172557044,-0.029228508137351165
0.5,0.0003333333333333334,16.0140593050612,0.00023846618010905094,15.028011765129872,5.9545420670152485,-0.02836724627037436
0.5,0.0016666666666666668,16.209731107916152,0.00017170684574075397,15.653362830407278,5.7264292366244085,-0.022617871783470897
0.5,0.0033333333333333335,16.796521246467666,6.412601786531784e-05,17.555468296110554,5.834101082959299,-0.015108846127879001
0.5,0.005,17.63595443131851,1.5671527555125886e-05,20.13197722662781,6.124978262247328,-0.007335000641227246
0.5,0.006666666666666667,18.62316433317404,2.988569511922322e-06,22.21092668197177,5.91542027777629,-0.0010757016385832124
0.5,0.008333333333333333,19.65225143610249,5.312367400147093e-07,24.782312727121006,5.944758083880665,0.006756116479553341
0.5,0.01,20.7014227876975,9.13002564912899e-08,27.546054347242713,5.7012762380941835,0.018590493975042997
0.5,0.013333333333333334,22.761447579294483,2.8758912255498134e-09,30.958612412066216,5.771921922388262,0.03005990353656087
0.5,0.016666666666666666,24.775387729891925,9.787399323824484e-11,35.70829505049028,5.828491729162545,0.05350954387143601
0.5,0.02,26.826605142819496,3.128874146521516e-12,42.40752611202498,5.92813328781768,0.0665203513839318
0.5,0.023333333333333334,28.906885568239453,9.526267476618365e-14,45.872422442510704,5.697426508722529,0.08042633970473909
0.5,0.02666666666666667,30.98497668761602,2.9110749684361827e-15,48.827814856879996,5.754593941727195,0.10941524730795091
0.5,0.03,32.501473546842895,2.283338332151177e-16,55.44573707697135,5.912588627909708,0.12076227929286207
0.5,0.03333333333333333,34.34435890778721,1.0355216925235257e-17,61.17027089180944,5.873497745047446,0.1209831769770946
1.0,3.3333333333333335e-07,16.604111531374183,8.857180333623914e-05,17.48554143280935,8.48560177257269,-0.029998283269970026
1.0,3.3333333333333333e-06,16.60534500191569,8.838861363514921e-05,16.982147358258242,7.982117815768997,-0.029984799016393927
1.0,3.3333333333333335e-05,16.60286668563051,8.875706737326923e-05,17.176524617590758,8.179551665361359,-0.02985310938659818
1.0,0.0001666666666666667,16.61119605620615,8.752478845547582e-05,17.297515149365807,8.206542523728874,-0.02925515151607385
1.0,0.0003333333333333334,16.61337517616547,8.720523429066748e-05,16.961534810889106,7.901029584066607,-0.028369414061783796
